equipo_jugador,id_equipo
Barcelona,529
Sevilla,536
Elche,797
Valladolid,720
Almeria,723
Osasuna,727
Cadiz,724
FC Cartagena,5262
Espanyol,540
Girona,547
Atletico Madrid,530
Real Sociedad,548
Real Madrid,541
Villarreal,533
Mallorca,798
Rayo Vallecano,728
Valencia,532
Celta Vigo,538
Real Betis,543
Athletic Club,531
Getafe,546
Alaves,542
Granada CF,715
Levante,539
Huesca,726
Eibar,545
Leganes,537
Deportivo La Coruna,544
Malaga,535
Las Palmas,534
Sporting Gijon,731
Cordoba,713
Zaragoza,732
Oviedo,718
Lugo,716
Tenerife,719
Racing Santander,4665
Ibiza,9390
Villarreal II,9595
Ponferradina,4907
FC Andorra,8157
Albacete,722
Burgos,9580
Mirandes,799
Alcorcon,711
Amorebieta,9380
Fuenlabrada,4906
Real Sociedad II,9585
Castellón,5254
UD Logroñés,5280
Sabadell,9593
Azuaga,9826
Extremadura,860
Numancia,717
Rayo Majadahonda,861
Gimnastic,714
Reus,729
Cultural Leonesa,725
Sevilla Atletico,730
Lorca FC,721
Lorca,15316
Barcelona B,712
Ucam Murcia,800
Llagostera,9399
Athletic Club II,9579
Recreativo Huelva,9410
Real Murcia,5275
Hércules,4666
Real Jaén,5274
Real Madrid II,9575
Guadalajara,9900
Xerez,9770
